id,is_iceberg
5941774d,0.09192657
4023181e,0.76518697
b20200e4,0.3568421
e7f018bb,0.9995431
4371c8c3,0.31032696
a8d9b1fd,0.98324734
29e7727e,0.081213094
92a51ffb,0.99827147
c769ac97,0.00197666
aee0547d,0.0045669596
565b28ac,0.0012503535
e04e9775,0.4091702
8e8161d1,0.06547123
4cf4d256,0.77314824
139e5324,0.94404453
f156976f,0.14624952
68a117cc,0.89944375
d9aa7a56,0.9646167
9005b143,0.96014297
5f6d3988,0.97120786
9ad70954,0.17144643
b9087b9e,0.5343624
a39a1427,0.98686194
82fbe8ed,0.014988979
1fae4879,0.0034938129
6dd8f13d,0.004831429
bbad5958,0.6233476
54527583,0.9360681
be8fa29c,0.9920305
81a3328f,0.99982375
1a3c0ab3,0.36054167
4deeeb8b,0.9915069
ac6d5632,0.9810311
472dadb5,0.9951102
96093f95,0.99433655
f5b4e3df,0.99888843
e01a3c92,0.10070293
001680af,0.90301716
8e639f33,0.64810014
a2c16612,0.9762127
a6d76474,0.020366922
19c47684,0.98642135
015827b6,0.40278387
7df7f7ce,0.72916406
0bbf1a3f,0.99775296
636cfbb7,0.89845216
7370030a,0.99972886
43aa97ad,0.2043475
ba2b5e63,0.99990535
dfdd335b,0.98155653
e79b13dc,0.12334766
dc32b195,0.99417686
6d868590,0.9731147
75fa59aa,0.9735006
ffe50836,0.9870341
a7bfd784,0.97495586
b3d569e3,0.2923951
6c538c5b,0.100358166
5c7c15f4,0.12885077
0b745139,0.9577613
fd14608e,0.8023494
f0bc8305,0.71408075
a10ccb28,0.99937683
543304c7,0.9832819
6c3a4078,0.03156461
9b73cc75,0.6096775
5c6c71b1,0.7429184
09ee9186,0.99822325
207c35cf,0.81303996
153c813e,0.31290516
5605d58b,0.9977763
642ca396,0.099002294
d32d72c0,0.8870766
16646a17,0.99781007
384074af,0.992569
69bf1e8c,0.7343269
9e90a054,0.98634666
89dbe7f7,0.9996326
dbd27d22,0.995917
a2ea1561,0.8607951
d63402af,0.4186919
1ac8bb92,0.99538356
8beffca5,0.863934
46741f3e,0.005058894
e5ee6aa7,0.90605617
5ecd892b,0.6387888
69892166,0.1902854
2f725a81,0.9853887
810abfe4,0.005123112
e6f973e6,0.95243883
c60a5c46,0.9649854
c42b9e08,0.9989728
c3f00c23,0.8914028
5307fdb8,0.99914527
3e4f005e,0.18491703
4a4cc2e0,0.9865264
9bdd88d1,0.0020704956
0d832bed,0.041604865
14a134fa,0.9787194
78a41676,0.59848315
0bd4658e,0.91680497
4a311bb0,0.99679923
f939c817,0.8953164
956adc4d,0.99992716
f8a119f5,0.77407634
61faa1ad,0.972051
6725eb3e,0.67505884
17b3a8fd,0.97760993
49a88dfc,0.005440467
2d6ec645,0.995191
0d4d77ba,0.9895443
3ee672a2,0.99980193
738b41fd,0.5678629
f7fb320d,0.991602
b42fad18,0.32293722
4ab8b00a,0.9803146
f7870f2b,0.49389255
4978666a,0.9994222
f1b0d6c7,0.06775209
5642407f,0.018534018
36d4ff92,0.99624735
4139aba2,0.9730863
7585ce58,0.99779165
33e25984,0.9992286
ac46f3c9,0.04516234
fc34a5b8,0.80007666
85c36a8f,0.99538213
b2d8a426,0.5622452
13ec60d1,0.7126282
9d440f42,0.9839972
1c0a891e,0.9718849
981c3bc3,0.9998994
295604f4,0.5778799
16ca16c3,0.83297515
b4dda837,0.51962906
88d088ef,0.06004048
1b4fa160,0.99613285
f371bd82,0.837693
b130a0b7,0.99983144
ebf1de82,0.98605806
01e651c3,0.05145718
51b1fecc,0.99719954
fa635a31,0.062465135
97b7d789,0.9928981
2f598053,0.038916897
c0e3e148,0.86894274
cfa175a8,0.285075
3d7e09d8,0.9995957
44a13d1b,0.9619754
c66b0948,0.8837324
976a6d64,0.74111885
8bbd8909,0.99889636
522890fd,0.56867015
f23a3b95,0.9508675
680039dc,0.4507853
93028e53,0.9646559
22a16932,0.9821116
7d8126d2,0.040334012
ba2ecd75,0.058265466
8071bdd7,0.6664636
96d5aeee,0.0028838888
154be68f,0.94577146
d8c2bfe2,0.99639136
f76d47b0,0.9996438
0e781ade,0.6484686
13cf6060,0.37133172
cd99f710,0.9383525
d10005bb,0.017414868
3a31445f,0.99972266
3157202d,0.89282024
6ee64703,0.9979553
e5de8685,0.47385672
02cc70ba,0.003097757
50984a87,0.95013726
fa94957a,0.99437606
eab406b4,0.7432257
3ad39398,0.67485714
9ecf3802,0.5210657
6048ae7b,0.77171147
9dc68871,0.0045329547
13701465,0.41979957
8d8779f3,0.70647335
0712f269,0.78950477
722c2597,0.06438596
478a2b08,0.9968545
38f5fb41,0.9924074
c52ad74d,0.999483
0c85fd09,0.05756758
f1582cba,0.8158134
ff836697,0.9642763
ddfe4802,0.013010689
3cef3bc7,0.99809605
6a21542b,0.99872106
150e23c4,0.9973188
078c6d99,0.8817956
1dcd1dc3,0.57025445
39967e45,0.95003384
6b6333aa,0.100638196
4ae61433,0.26919016
f96362e0,0.13938555
97a88aac,0.92903274
427ae8ce,0.94111544
209d4b15,0.85005176
64b453bd,0.0046403063
0f5a484e,0.9985746
5ac74969,0.9950965
736ed43e,0.65594125
8533795f,0.97783226
f5b54fb6,0.8314919
6eb4c041,0.20553473
97afdf42,0.9074042
1bb488db,0.97769564
f132e44d,0.7930738
d3c2f140,0.5303839
1756794d,0.9977729
9efcc11f,0.0073648
14c966cf,0.99119055
59cfe4d1,0.9891972
883151f4,0.87646335
34c4c9ff,0.9872824
70b4c2eb,0.9913702
96a337d9,0.99806887
7fe89ffa,0.7408678
057c7a22,0.00090270163
451cc057,0.8621901
05076700,0.0024369112
dc52f6c1,0.9020383
b03a59f9,0.7096614
129ed4b0,0.98593915
fb611563,0.9997279
ac32e6f1,0.99124724
c05c5ab0,0.99052775
3163d5ed,0.97009236
02096ca4,0.9954454
e92496c0,0.97994334
1a9e2c50,0.9977884
0864e334,0.88931674
d976faeb,0.9822974
1d7b342f,0.638497
281bc1ea,0.0015422602
bea9f0cf,0.9900163
f4afa0e6,0.00028038147
e1b5ef69,0.99528617
b50539fd,0.8305508
2a8c9c15,0.99814546
157ebb0c,0.9946964
247d3614,0.7540779
0c6cc0cb,0.9731857
aae88d39,0.24162705
0c77b464,0.8400346
963cf5ea,0.9907685
1b371d8b,0.93990004
225bc00f,0.17267002
bc0a4eec,0.10620742
1099782e,0.9210906
a18feadd,0.9972254
ad7f4932,0.9727021
5f8f831e,0.8264473
b5167c35,0.43342778
